region,okato_or_blank,first_centre_open_date,date_precision,city,predecessor_COU_date,renamed_or_new,source_url,source_name,source_type,quote,confidence,notes,check_25_09_2026
Смоленская область,66,2019-12-20,day,Смоленск,,new,https://ckr67.ru/novosti/v-smolenske-v-testovom-rezhime-zarabotal-edinyj-centr-moj-biznes/,Центр кластерного развития Смоленской обл.,official,В Смоленске в тестовом режиме заработал единый центр «Мой Бизнес».,medium,"20.12.2019 (тестовый режим) по сниппетам; публикация 24.12.2019; Тенишевой, 15.",date_NOT_found_on_page (snippet/headline-based)
Тамбовская область,68,2018-12-06,day,Тамбов,,new,https://www.onlinetambov.ru/news/society/v-tambove-otkryli-tsentr-okazaniya-uslug-moy-biznes/,ОнлайнТамбов.ру,regional_media,Сегодня в деловом пространстве «Геометрия бизнеса» состоялась открытие Центра оказания услуг «Мой бизнес» в городе Тамбове.,high,"Пилотный центр. МЭР: в списке субъектов, где центры открыты до 01.01.2019.",date_found_on_source_page
Тверская область,28,2019-10-31,day,Тверь,,new,https://tver.aif.ru/society/details/pervyy_centr_dlya_predprinimateley_moy_biznes_otkrylsya_v_tverskoy_oblasti,АиФ-Тверь,regional_media,В Тверской области открылся первый в регионе центр оказания услуг предпринимателям «Мой бизнес».,high,РИА Новости 31.10.2019.,date_found_on_source_page
Томская область,69,2019-12-12,day,Томск,,new,https://tomsk.gov.ru/news/front/view/id/49228,Администрация Томской области,official,В Томске завтра откроется центр «Мой бизнес» (заголовок),medium,12.12.2019 по сниппету.,date_found_on_source_page
Тульская область,70,2020-03-18,day,Тула,2018-09-12,new,https://1tulatv.ru/novosti-reportazhi/134428-v-tule-otkrylsya-centr-moy-biznes.html,Первый Тульский,regional_media,"Центр «Мой бизнес» открылся в Туле по адресу: улица Кирова, дом 135, корпус 1.",medium,"Публикация 19.03.2020, открытие на форуме 18.03.2020 (myslo.ru 19.03.2020; vestitula 5-летие 19.03.2025). Ранее: ЦОУ «Мой бизнес» (МФЦ + Россельхозбанк) — 12.09.2018 по сниппету tula.business-magazine.online; МЭР относит Тульскую обл. к до 01.01.2019.",date_NOT_found_on_page (snippet/headline-based)
Тюменская область,71,2019,year,Тюмень,,new,https://xn---72-9cdulgg0aog6b.xn--p1ai/o-nas/,Центр «Мой бизнес» Тюменской области,official,"В 2019 году, в рамках национального проекта ... был создан Центр “Мой бизнес” Тюменской области.",medium,"Технопарк, Республики 142; точная дата не найдена.",not_checked (precision month/year or no date)
Ульяновская область,73,2018,year,Ульяновск,,,https://www.economy.gov.ru/material/departments/d13/regionalnye_centry_moy_biznes/,"Минэкономразвития России, страница «Региональные центры «Мой бизнес»» (прочитана через поисковые сниппеты; сайт гео-заблокирован)",official,,low,"МЭР: в списке субъектов, где центры открыты до 01.01.2019. Точная дата не найдена (Дом предпринимателя, пр. Максимова, 4).",not_checked (precision month/year or no date)
Челябинская область,75,2017-05-29,day,Челябинск,,renamed,https://www.chel.kp.ru/daily/27283/4419074/,Комсомольская правда — Челябинск,regional_media,26 мая в День предпринимательства и свой День рождения центр «Мой бизнес» (до ребрендинга «Территория бизнеса»...),medium,"Единый центр «Территория бизнеса» открыт 29.05.2017, позже переименован в «Мой бизнес» (дата ребрендинга не найдена, ок. 2019). МЭР: в списке субъектов, где центры открыты до 01.01.2019.",date_found_on_source_page
Ярославская область,78,2018-10-02,day,Ярославль,,new,https://yarreg.ru/articles/v-yaroslavle-otkrylsya-centr-moy-biznes/,Яррег,regional_media,В рамках регионального Дня промышленности в Ярославле открыт областной центр «Мой бизнес».,high,"Также corpmsp.ru «В Ярославле открылся центр «Мой бизнес»». МЭР: в списке субъектов, где центры открыты до 01.01.2019.",date_found_on_source_page
г. Москва,45,2018,year,Москва,,renamed,https://www.economy.gov.ru/material/departments/d13/regionalnye_centry_moy_biznes/,"Минэкономразвития России, страница «Региональные центры «Мой бизнес»» (прочитана через поисковые сниппеты; сайт гео-заблокирован)",official,,low,"МЭР: в списке субъектов, где центры открыты до 01.01.2019. В Москве роль центра «Мой бизнес» выполняет ГБУ «Малый бизнес Москвы» (мойбизнес.рф/about); отдельного открытия центра «Мой бизнес» нет.",not_checked (precision month/year or no date)
г. Санкт-Петербург,40,2019-11-22,day,Санкт-Петербург,,new,https://fond-msp.ru/company/,Фонд развития МСП Санкт-Петербурга,official,22 ноября 2019 года в рамках Национального проекта ... на базе НО «Фонд развития субъектов МСП в Санкт-Петербурге» открыт Центр «Мой бизнес»,high,"Противоречие: МЭР относит СПб к 01.01–01.06.2019 (возможно, ЦРПП). Кирочная, 59.",date_found_on_source_page
г. Севастополь,67,2019-12,month,Севастополь,,new,https://stv92.ru/news/news-13886/,СТВ (Севастополь),regional_media,Центру «Мой бизнес» в Севастополе исполняется 6 лет. Созданный в 2019 году в рамках национального проекта,medium,Публикация к «дню рождения» 07.12.2025 (и crimeapress.info 07.12.2022) → открытие ок. начала декабря 2019.,not_checked (precision month/year or no date)
Еврейская автономная область,99,2019-12-30,day,Биробиджан,,new,https://www.gorodnabire.ru/novosti/sobitiya/lenta/tsentr-moy-biznes-otkrilsya-v-birobidzhane,Город на Бире,regional_media,"Центр «Мой бизнес» открылся в Биробиджане ... понедельник, 30 декабря 2019",high,"Пр. 60-летия СССР, 12а (МФЦ).",date_found_on_source_page
Ненецкий автономный округ,11100,2018,year,Нарьян-Мар,,,https://www.economy.gov.ru/material/departments/d13/regionalnye_centry_moy_biznes/,"Минэкономразвития России, страница «Региональные центры «Мой бизнес»» (прочитана через поисковые сниппеты; сайт гео-заблокирован)",official,,low,"МЭР: в списке субъектов, где центры открыты до 01.01.2019. Точная дата не найдена (АО «Центр развития бизнеса НАО», Ненецкая 3).",not_checked (precision month/year or no date)
Ханты-Мансийский автономный округ — Югра,71100,2019,year,Сургут,,new,http://www.ugrapro.ru/2019/10/01/moy-biznes-v-yugre-otkryitie-mnogofunktsionalnogo-tsentra-dlya-predprinimateley-regiona/,ЮграPRO,regional_media,"«Мой бизнес» в Югре. Открытие многофункционального центра для предпринимателей региона (заголовок, 01.10.2019)",low,"В 2019 открыты центры в Сургуте, Нижневартовске, Нягани (сниппет ugra-news.ru). МЭР: в списке субъектов, где центры открыты с 01.01.2019 по 01.06.2019. (в одном сниппете ХМАО также фигурирует в списке «до 01.01.2019»).",not_checked (precision month/year or no date)
Чукотский автономный округ,77,2020-01-22,day,Анадырь,,new,https://prochukotku.ru/news/actual/pervyy_na_chukotke_tsentr_dlya_predprinimateley_moy_biznes_otkroetsya_v_anadyre_10074/,ПроЧукотку,regional_media,"Первый на Чукотке центр для предпринимателей ""Мой бизнес"" откроется в Анадыре (заголовок)",medium,"22.01.2020 (среда) по сниппету; Тевлянто, 1; Фонд развития Чукотки.",date_NOT_found_on_page (snippet/headline-based)
Ямало-Ненецкий автономный округ,71140,2018-07-11,day,Салехард,2018-07-11,new,https://ria.ru/20180711/1524378610.html,РИА Новости,federal_media,"Центр оказания услуг (ЦОУ) ""Мой бизнес"" открылся в Салехарде, сообщила на пресс-конференции в среду директор департамента экономики ЯНАО",high,"Это ЦОУ на базе отделения Сбербанка (Республики, 41) — по сути ЦОУ Корпорации МСП под брендом «Мой бизнес»; также Коммерсантъ doc/3682984. МЭР: в списке субъектов, где центры открыты до 01.01.2019.",date_found_on_source_page
